"","BoroName","LATITUDE","LONGITUDE"
"1","Brooklyn",40.706812,-73.947831
"2","Brooklyn",40.719097,-73.945162
"3","Brooklyn",40.702976,-73.945783
"4","Brooklyn",40.720195,-73.940836
"5","Brooklyn",40.69344,-73.969795
"6","Brooklyn",40.689488,-73.992056
"7","Brooklyn",40.689883,-73.992675
"8","Brooklyn",40.696791,-73.991491
"9","Brooklyn",40.690251,-73.987569
"10","Brooklyn",40.68965,-73.969239
"11","Brooklyn",40.69027,-73.945377
"12","Brooklyn",40.6794,-73.934949
"13","Brooklyn",40.6811,-73.9554
"14","Brooklyn",40.696135,-73.943295
"15","Brooklyn",40.695092,-73.952319
"16","Brooklyn",40.699429,-73.923621
"17","Brooklyn",40.691476,-73.909371
"18","Brooklyn",40.692969,-73.927549
"19","Brooklyn",40.699353,-73.911115
"20","Brooklyn",40.700867,-73.942323
"21","Brooklyn",40.68174,-73.87189
"22","Brooklyn",40.686923,-73.94498
"23","Brooklyn",40.640598,-74.018179
"24","Brooklyn",40.635695,-74.009731
"25","Brooklyn",40.602183,-73.993389
"26","Brooklyn",40.613347,-73.995744
"27","Brooklyn",40.615498,-73.999659
"28","Brooklyn",40.610846,-74.013562
"29","Brooklyn",40.602168,-73.993747
"30","Brooklyn",40.580004,-73.968762
"31","Brooklyn",40.581814,-73.959784
"32","Brooklyn",40.591306,-73.9608
"33","Brooklyn",40.593947,-73.94078
"34","Brooklyn",40.605417,-73.967383
"35","Brooklyn",40.600981,-73.937532
"36","Brooklyn",40.600058,-73.933006
"37","Brooklyn",40.670654,-73.930756
"38","Brooklyn",40.670237,-73.923162
"39","Brooklyn",40.669359,-73.894842
"40","Brooklyn",40.669142,-73.895303
"41","Brooklyn",40.664333,-73.894063
"42","Brooklyn",40.600522,-73.941684
"43","Brooklyn",40.587719,-73.955863
"44","Brooklyn",40.619706,-73.907818
"45","Brooklyn",40.663624,-73.932018
"46","Brooklyn",40.673154,-73.869818
"47","Brooklyn",40.670312,-73.888463
"48","Brooklyn",40.662639,-73.891114
"49","Brooklyn",40.669341,-73.87426
"50","Brooklyn",40.678279,-73.897034
"51","Brooklyn",40.661594,-73.893066
"52","Brooklyn",40.666855,-73.881396
"53","Brooklyn",40.663368,-73.889459
"54","Brooklyn",40.633393,-73.952576
"55","Brooklyn",40.624567,-73.91765
"56","Brooklyn",40.635384,-73.91369
"57","Brooklyn",40.58395,-73.941036
"58","Brooklyn",40.713715,-73.960012
"59","Brooklyn",40.714142,-73.949231
"60","Brooklyn",40.690373,-73.96066
"61","Brooklyn",40.69352,-73.9781
"62","Brooklyn",40.675242,-73.933086
"63","Brooklyn",40.670511,-73.931144
"64","Brooklyn",40.677425,-73.941361
"65","Brooklyn",40.687947,-73.97866
"66","Queens",40.683101,-73.866056
"67","Brooklyn",40.678598,-73.866093
"68","Brooklyn",40.683367,-73.872171
"69","Brooklyn",40.687985,-73.93586
"70","Brooklyn",40.693049,-73.937416
"71","Brooklyn",40.699894,-73.9834
"72","Brooklyn",40.690028,-73.963652
"73","Brooklyn",40.695417,-73.946403
"74","Brooklyn",40.677844,-73.973259
"75","Brooklyn",40.618049,-73.960355
"76","Brooklyn",40.693311,-73.97272
"77","Brooklyn",40.675394,-73.935889
"78","Brooklyn",40.656689,-73.914073
"79","Brooklyn",40.638519,-73.950978
"80","Brooklyn",40.65631,-73.92372
"81","Brooklyn",40.662315,-73.908771
"82","Brooklyn",40.668408,-73.917328
"83","Brooklyn",40.677807,-73.903579
"84","Brooklyn",40.67134,-73.91706
"85","Brooklyn",40.675194,-73.913731
"86","Brooklyn",40.656156,-73.907183
"87","Brooklyn",40.665323,-73.902754
"88","Brooklyn",40.669946,-73.891841
"89","Brooklyn",40.671489,-73.881381
"90","Brooklyn",40.673053,-73.869618
"91","Brooklyn",40.624876,-73.96486
"92","Brooklyn",40.634325,-73.99297
"93","Brooklyn",40.731627,-73.946142
"94","Brooklyn",40.730445,-73.954194
"95","Brooklyn",40.715978,-73.940148
"96","Brooklyn",40.66611,-73.88345
"97","Brooklyn",40.679686,-73.935251
"98","Brooklyn",40.698276,-73.982605
"99","Brooklyn",40.693423,-73.979409
"100","Brooklyn",40.649777,-73.971993
"101","Brooklyn",40.699683,-73.983219
"102","Brooklyn",40.703429,-73.964613
"103","Brooklyn",40.684601,-74.002806
"104","Brooklyn",40.688998,-73.930369
"105","Brooklyn",40.693351,-73.990414
"106","Brooklyn",40.693501,-73.99034
"107","Brooklyn",40.713269,-73.94409
"108","Brooklyn",40.700173,-73.911676
"109","Brooklyn",40.588817,-73.990466
"110","Brooklyn",40.674756,-74.007905
"111","Brooklyn",40.683856,-73.93257
"112","Brooklyn",40.643037,-73.878351
"113","Brooklyn",40.662154,-73.89319
"114","Brooklyn",40.671623,-73.895934
"115","Brooklyn",40.683248,-73.886896
"116","Brooklyn",40.577118,-74.003183
"117","Brooklyn",40.640684,-73.955667
"118","Brooklyn",40.632357,-73.966441
"119","Brooklyn",40.656373,-73.939473
"120","Brooklyn",40.657552,-73.939755
"121","Brooklyn",40.687548,-73.968818
"122","Brooklyn",40.686575,-73.968627
"123","Brooklyn",40.677152,-73.900058
"124","Brooklyn",40.699773,-73.923794
"125","Brooklyn",40.703963,-73.919677
"126","Brooklyn",40.598256,-73.960923
"127","Brooklyn",40.591887,-73.96055
"128","Brooklyn",40.607636,-73.943144
"129","Brooklyn",40.668983,-73.898345
"130","Brooklyn",40.669696,-73.911167
"131","Brooklyn",40.662256,-73.908938
"132","Brooklyn",40.697734,-73.925789
"133","Brooklyn",40.663833,-73.909341
"134","Brooklyn",40.666795,-73.922789
"135","Brooklyn",40.669843,-73.916284
"136","Brooklyn",40.666923,-73.922916
"137","Brooklyn",40.676009,-73.911084
"138","Brooklyn",40.590411,-73.974033
"139","Brooklyn",40.684438,-73.978716
"140","Brooklyn",40.68352,-73.935475
"141","Brooklyn",40.659093,-73.89945
"142","Brooklyn",40.675888,-73.896655
"143","Brooklyn",40.661978,-73.892958
"144","Brooklyn",40.672343,-73.874212
