NAME,LAGITUDE,LONGITUDE
Astor Pl,-73.99107,40.730054
Canal St,-74.000193,40.718803
50th St,-73.983849,40.761728
Bergen St,-73.97499915,40.68086214
Pennsylvania Ave,-73.89488591,40.66471445
238th St,-73.90087,40.884667
Cathedral Pkwy (110th St),-73.95806671,40.80058156
Kingston - Throop Aves,-73.940859,40.679919
65th St,-73.89878838,40.74971953
36th St,-73.92901818,40.75196004
Delancey St - Essex St,-73.9874094,40.71830606
Van Siclen Ave,-73.89165773,40.67802821
Norwood Ave,-73.879626,40.68152
104th-102nd Sts,-73.844435,40.695166
DeKalb Ave,-73.98177094,40.69064812
Beach 105th St,-73.82758075,40.58326844
Beach 90th St,-73.8136514,40.58809156
Freeman St,-73.89175225,40.82998745
Intervale Ave,-73.89661738,40.82214213
182nd-183rd Sts,-73.900741,40.856093
174th-175th Sts,-73.910136,40.8459
167th St,-73.918432,40.833769
Mets - Willets Point,-73.845625,40.754622
Junction Blvd,-73.869527,40.749145
Flushing - Main St,-73.83003,40.7596
Buhre Ave,-73.832569,40.84681
3rd Ave - 138th St,-73.926138,40.810476
Castle Hill Ave,-73.851222,40.834255
Brooklyn Bridge - City Hall,-74.004131,40.713065
Zerega Ave,-73.847036,40.836488
Grand Central - 42nd St,-73.9767133,40.75180743
33rd St,-73.982076,40.746081
96th St,-73.95107,40.785672
77th St,-73.959874,40.77362
Chauncey St,-73.91038357,40.6828513
Union St,-73.98311,40.67731567
Elmhurst Ave,-73.88203475,40.74237008
Ralph Ave,-73.920786,40.678822
Pelham Pkwy,-73.86748068,40.85719241
Gun Hill Rd,-73.86613411,40.87783939
Nereid Ave (238 St),-73.85431531,40.89828652
Franklin Ave,-73.95809974,40.67076515
Simpson St,-73.8930664,40.82397684
Bronx Park East,-73.86835609,40.84876867
Winthrop St,-73.95007935,40.65665931
Van Siclen Ave,-73.88940492,40.66551796
149th St - Grand Concourse,-73.92738475,40.81830344
161st St - Yankee Stadium,-73.925692,40.82823033
Lexington Ave - 59th St,-73.967967,40.762526
E 149th St,-73.904098,40.812118
Morrison Av - Soundview,-73.874516,40.829521
Whitlock Ave,-73.886283,40.826525
