name,id,latitude,longitude,zipcode,rating
Urban Pads,t7J5R1LVDmTUVnFAaT2smg,40.6750714,-73.952629,11216,4.0
21 Chelsea,U3sf7qA8-a7E671H-IBhag,40.741863,-73.994888,10011,4.5
250 East Houston,aprFpdAI6vMVacnp-m--KA,40.72217,-73.98535,10002,4.5
Avalon Bowery Place,zvyX_sztgZMjJX_rh3noCA,40.724469,-73.9909079,10003,4.0
The Ludlow,z7cQ1mulPeISuBbZztTt5g,40.722111,-73.987095,10002,4.0
The Greystone,wXFwdr8uTJkFBki9GhiTCw,40.79109,-73.97347,10024,3.5
Loftey,wiY9BLG7HvwNc5YdUnvHAw,40.75121,-73.98356,10018,4.5
Post Luminaria,Fqii3H_aQHw5h0IcWf_ldg,40.737291,-73.978547,10010,4.5
The Lanthian Apartments,PJo7uXAPf_EWKBWi1qytgA,40.7433809,-73.9742625,10016,4.5
MiMA,3eBAF4AqRN_byMoGk7ILxQ,40.75918,-73.99481,10036,4.0
AVA Fort Greene,Eb6jbYK9tmTzyDkmnKBHJg,40.69408,-73.98288,11201,4.0
24 Fifth Avenue,Vle5hEnVZHx0CFZxrcvePQ,40.7331,-73.99596,10011,5.0
The Dylan,ryyDLmof-e6YiLMVUpAlyg,40.7467824,-73.9854604,10016,4.0
The Courtney House,ZKceLb9C3n6m_Gp2ODOHSg,40.7368481,-73.9952869,10011,5.0
The Dakota,f41yIVlTxw5U8U24hTiWhQ,40.77652476376047,-73.97614214323143,10023,4.0
AVA DoBro,ElOd4TDxD0oo0xUSaISZug,40.69188,-73.98483,11201,4.0
The Brooklyner Apartments,r7xK0gImtUoylWHGqlodOw,40.69269,-73.98612,11201,4.0
Historic Front Street,nUkh7vJKHK18hiLSzoeGvg,40.7072487,-74.0022583,10038,5.0
Nooklyn,AYinJ1GL9_3B70JRYUIY4A,40.72122,-73.98795,10002,4.0
APT212,ja1WPvTvXKgXoGlWCEhxGQ,40.7255554199219,-73.9979934692383,10012,4.0
Astoria Apartments,lIvOXpYEtMA7vQqy-tMVLw,40.768221,-73.8748939,11105,4.0
95 Wall,-JD15ptnneY2KoH_lt9uvA,40.70493,-74.00749,10005,3.5
200 Water Street Apartments,dtopX6iixac_WCGlgee5ug,40.7073584540655,-74.0046235101227,10038,2.0
The Churchill,p1su_IbwKC423eLdRybYEw,40.7481314,-73.9731540914811,10016,5.0
The Tate,o-lzkGWtdFyxroB4XOeb2w,40.7483893,-74.00534,10011,5.0
The BLVD Collection,_XsX8A3pjPC4txDIGjlvnw,40.72252239055711,-74.03663120286969,07310,4.5
Prism at Park Avenue South Apartments,2yY6-sdWPCQWsMWCSBVPUQ,40.743618,-73.9851303,10016,4.0
Gotham West,qC_ZSD0zd5_4stj2d20CnA,40.76213734206317,-73.99708713376164,10036,4.0
