id,rating,text
t7J5R1LVDmTUVnFAaT2smg,5,"Haim hi was Awesome broker he help us with the best way !!! I recommend this company and this guy!

We thank you for everything!!"
t7J5R1LVDmTUVnFAaT2smg,1,"wasted my time - was shown an apartment that i loved, got everything filled out even made $500 deposit to get the ""apartment taken off the market"" apartment..."
t7J5R1LVDmTUVnFAaT2smg,1,"I didnt even want to select a star but Yelp told me i had to inorder to leave a review.

I personally think this company is a fraud. Their office number..."
U3sf7qA8-a7E671H-IBhag,5,"- Friendly doormen 
- Helpful management team 
- Quick response time on apartment requests 
- Well maintained common areas (laundry room, gym, hallways)
-..."
U3sf7qA8-a7E671H-IBhag,5,I love my corner apartment with double exposures and have been an avid tenant for many years.  The staff could not be nicer. They greet me with a smile and...
U3sf7qA8-a7E671H-IBhag,5,Love this building! So conveniently located and GREAT amenities. Concierge team is very friendly and helpful and the leasing/management team was so pleasant...
aprFpdAI6vMVacnp-m--KA,5,"One of our favorite placed to live:

We had signed a lease at 250 E Houston at an interesting time, they were gutting and renovating the Red Square building..."
aprFpdAI6vMVacnp-m--KA,1,Dishwasher still leaking and worse . Other day porter had to come and mop up entire kitchen floor . Super Danny said he was coming yesterday while I was in...
aprFpdAI6vMVacnp-m--KA,5,"We lived there for three years and had a really great experience, even through COVID. We highly recommend it- the finishings in the apartment are high..."
z7cQ1mulPeISuBbZztTt5g,4,"Love this boutique hotel. 
Rooms are VERY small but nicely appointed. The lobby and bar space are soooo nice and comfy. Staff is extremely friendly and..."
z7cQ1mulPeISuBbZztTt5g,4,I've lived here for over 3 years in a studio apartment on a lower floor. I really like it and I have no plans to move until I buy. This is a rental only...
zvyX_sztgZMjJX_rh3noCA,1,"Overall the location is its best feature, but beware - The staff with regards to the concierge/doorman are the best there is.  However I would avoid it..."
zvyX_sztgZMjJX_rh3noCA,1,"Despite quality doormen and maintenance personnel, the building is horribly mismanaged. Amenities have become close to nonexistent. There are often groups..."
zvyX_sztgZMjJX_rh3noCA,2,"Living at The Avalon has been a fine experience, but beware - after 1 year, they'll increase rent by 13%+ (in my personal case) on already astronomical rent..."
wXFwdr8uTJkFBki9GhiTCw,5,"Overpriced and other is business oriented but that's not any different than any other full amenities building.  If you ever have a problem, Karen Cook is..."
wXFwdr8uTJkFBki9GhiTCw,5,We loved our stay at Greystone and upper west side!  The folks in the building and the cleanliness of the building made a big difference for our first home...
wXFwdr8uTJkFBki9GhiTCw,2,"I like living here, doormans are super nice but apartment is very small, this building has 3 elevators but 2 of them have not been working for so long so..."
Fqii3H_aQHw5h0IcWf_ldg,5,"Having lived at Post Luminaria for a little over a year, I am already sad my lease is ending next August!  PL is the ideal place to live in the city- clean,..."
Fqii3H_aQHw5h0IcWf_ldg,4,"We lived here for a year, and loved almost every minute of it. The doormen and staff are beyond friendly and helpful - we still see them occasionally even..."
Fqii3H_aQHw5h0IcWf_ldg,5,"Home sweet home.

These are the friendliest doormen I've encountered, and the super is super on his game. The building has some nice common areas and is pet..."
wiY9BLG7HvwNc5YdUnvHAw,5,"My experience with Loftey was great: I'm moving from CA to NY, and while searching for apartments online, I stumbled upon a Loftey ad. After an initial..."
