name,latitude,longitude,zipcode,url,rating
Wenwen,40.73398,-73.95504,11222,https://www.yelp.com/biz/wenwen-brooklyn-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,5.0
Kong Sihk Tong 港食堂,40.715433714742154,-73.9981186386701,10013,https://www.yelp.com/biz/kong-sihk-tong-%E6%B8%AF%E9%A3%9F%E5%A0%82-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Thursday Kitchen,40.72761,-73.98373,10009,https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Omusubi Gonbei,40.750701,-73.976961,10017,https://www.yelp.com/biz/omusubi-gonbei-new-york-3?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Raku,40.7264988089246,-73.9866526052356,10003,https://www.yelp.com/biz/raku-new-york-7?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Tonii’s Fresh Rice Noodle,40.715608,-73.998949,10013,https://www.yelp.com/biz/tonii-s-fresh-rice-noodle-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Katz's Delicatessen,40.722237,-73.9875259,10002,https://www.yelp.com/biz/katzs-delicatessen-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Shukette,40.74745,-74.00041,10001,https://www.yelp.com/biz/shukette-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
JeJu Noodle Bar,40.73304,-74.00734,10014,https://www.yelp.com/biz/jeju-noodle-bar-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Juliana's,40.70274718768062,-73.99343490196397,11201,https://www.yelp.com/biz/julianas-brooklyn-3?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Raku,40.72728,-74.00252,10012,https://www.yelp.com/biz/raku-new-york-6?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Uncle Lou,40.71623,-73.99925,10013,https://www.yelp.com/biz/uncle-lou-new-york-3?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Yi Ji Shi Mo Noodle Corp,40.71824,-73.99583,10013,https://www.yelp.com/biz/yi-ji-shi-mo-noodle-corp-new-york-5?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Butler,40.7032670673495,-73.9922419276899,11201,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Kora,40.751208638548974,-73.95004514604808,11101,https://www.yelp.com/biz/kora-long-island-city-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Nami Nori,40.730284,-74.003212,10014,https://www.yelp.com/biz/nami-nori-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Russ & Daughters,40.722589,-73.9882828294139,10002,https://www.yelp.com/biz/russ-and-daughters-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Los Tacos No. 1,40.714282,-74.008675,10007,https://www.yelp.com/biz/los-tacos-no-1-new-york-5?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Jack's Wife Freda,40.71707,-73.96322,11249,https://www.yelp.com/biz/jacks-wife-freda-new-york-5?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Defontes,40.6789444357833,-74.0053691263199,11231,https://www.yelp.com/biz/defontes-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Win Son,40.70747,-73.94339,11206,https://www.yelp.com/biz/win-son-brooklyn-4?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
hanon,40.7134488,-73.9513445,11211,https://www.yelp.com/biz/hanon-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Mr. Bao,40.677216,-73.979754,11217,https://www.yelp.com/biz/mr-bao-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Los Tacos No.1,40.7425547,-74.0060838,10011,https://www.yelp.com/biz/los-tacos-no-1-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Grandchamps Brooklyn Navy Yard,40.6982018370924,-73.9710953725855,11205,https://www.yelp.com/biz/grandchamps-brooklyn-navy-yard-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Ursula BK,40.672656,-73.954677,11216,https://www.yelp.com/biz/ursula-bk-brooklyn-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Momofuku Ssam Bar,40.705476024827576,-74.0016428,10038,https://www.yelp.com/biz/momofuku-ssam-bar-new-york-6?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
The Migrant Kitchen - Brooklyn,40.704251,-74.010636,11201,https://www.yelp.com/biz/the-migrant-kitchen-brooklyn-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Ugly Baby,40.67795,-73.9961,11231,https://www.yelp.com/biz/ugly-baby-brooklyn-3?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Ippudo NY,40.73092,-73.99015,10003,https://www.yelp.com/biz/ippudo-ny-new-york-7?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Kjun,40.7296335,-73.9877893,10003,https://www.yelp.com/biz/kjun-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,5.0
Pasta Louise,40.666091,-73.9787254,11215,https://www.yelp.com/biz/pasta-louise-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Lucali,40.6818,-74.00024,11231,https://www.yelp.com/biz/lucali-brooklyn-3?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
A&A Bake and Double and Roti Shop,40.68043,-73.94795,11216,https://www.yelp.com/biz/a-and-a-bake-and-double-and-roti-shop-brooklyn-3?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Birria Landia Williamsburg,40.71390489837251,-73.95196261271435,11211,https://www.yelp.com/biz/birria-landia-williamsburg-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Taste of Heaven,40.717115,-73.940613,11211,https://www.yelp.com/biz/taste-of-heaven-brooklyn?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,5.0
Jasleen Deli,40.6846109,-73.950225,11216,https://www.yelp.com/biz/jasleen-deli-bedford-stuyvesant?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
8282,40.72161,-73.98875,10002,https://www.yelp.com/biz/8282-new-york-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Prince Street Pizza,40.72308755605564,-73.99453001177575,10012,https://www.yelp.com/biz/prince-street-pizza-new-york-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.5
Kimika,40.720572,-73.995206,10012,https://www.yelp.com/biz/kimika-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Birria LES,40.719628849397935,-73.98711402147562,10002,https://www.yelp.com/biz/birria-les-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Fishmarket II,40.72835,-73.98204,10009,https://www.yelp.com/biz/fishmarket-ii-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,5.0
Sushi Lab Rooftop NYC,40.758489034780425,-73.98320701370044,10036,https://www.yelp.com/biz/sushi-lab-rooftop-nyc-new-york-2?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,4.0
Casa Birria NYC,40.778824,-73.953986,10028,https://www.yelp.com/biz/casa-birria-nyc-new-york?adjust_creative=cPvoAldHXmIlE5jmZCnL3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cPvoAldHXmIlE5jmZCnL3A,5.0
