name,id,latitude,longitude,zipcode,rating,url
Urban Pads,t7J5R1LVDmTUVnFAaT2smg,40.6750714,-73.952629,11216,4,https://s3-media2.fl.yelpcdn.com/bphoto/Qa3EMzp-Q-RBwDiqmppkwQ/o.jpg
21 Chelsea,U3sf7qA8-a7E671H-IBhag,40.741863,-73.994888,10011,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/YdyltGzActfgbkOAdZngAA/o.jpg
250 East Houston,aprFpdAI6vMVacnp-m--KA,40.72217,-73.98535,10002,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/KnN9---d8KN4cP1Iwd8oMg/o.jpg
The Ludlow,z7cQ1mulPeISuBbZztTt5g,40.722111,-73.987095,10002,4,https://s3-media2.fl.yelpcdn.com/bphoto/Qt1ggJEyM6HzFjhHoTLBDg/o.jpg
Avalon Bowery Place,zvyX_sztgZMjJX_rh3noCA,40.724469,-73.9909079,10003,4,https://s3-media4.fl.yelpcdn.com/bphoto/3MbTyAaxRXlhWZB0-NuQHg/o.jpg
The Greystone,wXFwdr8uTJkFBki9GhiTCw,40.79109,-73.97347,10024,3.5,https://s3-media2.fl.yelpcdn.com/bphoto/CayRFrxNvOVp2Snum3a6ZQ/o.jpg
Post Luminaria,Fqii3H_aQHw5h0IcWf_ldg,40.737291,-73.978547,10010,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/Tr4pX356AkHTcyAwrAOzjQ/o.jpg
Loftey,wiY9BLG7HvwNc5YdUnvHAw,40.75121,-73.98356,10018,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/gibLIotucDfp_K3Mp6kYAA/o.jpg
The Lanthian Apartments,PJo7uXAPf_EWKBWi1qytgA,40.7433809,-73.9742625,10016,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/dy69OmuY1DKXW-TYLpjrww/o.jpg
MiMA,3eBAF4AqRN_byMoGk7ILxQ,40.75918,-73.99481,10036,4,https://s3-media2.fl.yelpcdn.com/bphoto/Ab_mt7V-CUPXDU9-y16Vig/o.jpg
24 Fifth Avenue,Vle5hEnVZHx0CFZxrcvePQ,40.7331,-73.99596,10011,5,https://s3-media1.fl.yelpcdn.com/bphoto/OljWigcOd8hwlpCKNar9HA/o.jpg
The Dylan,ryyDLmof-e6YiLMVUpAlyg,40.7467824,-73.9854604,10016,4,https://s3-media1.fl.yelpcdn.com/bphoto/QBdGVvk1yJn9buI3WhNsww/o.jpg
AVA Fort Greene,Eb6jbYK9tmTzyDkmnKBHJg,40.69408,-73.98288,11201,4,https://s3-media1.fl.yelpcdn.com/bphoto/ljqdnsfXU798u9oicsvmuA/o.jpg
The Courtney House,ZKceLb9C3n6m_Gp2ODOHSg,40.7368481,-73.9952869,10011,5,https://s3-media3.fl.yelpcdn.com/bphoto/U5skfzQvmcfJidZYyUqiHg/o.jpg
The Dakota,f41yIVlTxw5U8U24hTiWhQ,40.77652476,-73.97614214,10023,4,https://s3-media4.fl.yelpcdn.com/bphoto/jj5ciGqjG7mKIAFS281LLg/o.jpg
Nooklyn,AYinJ1GL9_3B70JRYUIY4A,40.72122,-73.98795,10002,4,https://s3-media3.fl.yelpcdn.com/bphoto/lvkVswkbfHRN4nUXuyAUGw/o.jpg
The Brooklyner Apartments,r7xK0gImtUoylWHGqlodOw,40.69269,-73.98612,11201,4,https://s3-media2.fl.yelpcdn.com/bphoto/MTVA28L0ntIuLsVIrGC32A/o.jpg
AVA DoBro,ElOd4TDxD0oo0xUSaISZug,40.69188,-73.98483,11201,4,https://s3-media2.fl.yelpcdn.com/bphoto/gPZIZ65RWsIFduAHJJo7LQ/o.jpg
95 Wall,#NAME?,40.70493,-74.00749,10005,3.5,https://s3-media1.fl.yelpcdn.com/bphoto/82bIs8BPhw8t85_IMKpssg/o.jpg
Historic Front Street,nUkh7vJKHK18hiLSzoeGvg,40.7072487,-74.0022583,10038,5,https://s3-media3.fl.yelpcdn.com/bphoto/u5g9io95q5iUqATrEJgHCQ/o.jpg
Astoria Apartments,lIvOXpYEtMA7vQqy-tMVLw,40.768221,-73.8748939,11105,4,https://s3-media2.fl.yelpcdn.com/bphoto/ifAkCKQ7xAVn8phqHEefnQ/o.jpg
APT212,ja1WPvTvXKgXoGlWCEhxGQ,40.72555542,-73.99799347,10012,4,https://s3-media2.fl.yelpcdn.com/bphoto/x271-WWHCIeQO39djl8aJg/o.jpg
