uid,name,url,latitude,longitude,zipcode,rating,cluster,starting_price,res_score,bus_score,subway_score,traffic_score,res_score_raw,bus_score_raw,subway_score_raw
0,Urban Pads,https://s3-media2.fl.yelpcdn.com/bphoto/Qa3EMzp-Q-RBwDiqmppkwQ/o.jpg,40.6750714,-73.952629,11216,4,145,1924.963992,2.535564174,3.691924314,5,4.345962157,50.71128348,73.83848627,100
1,21 Chelsea,https://s3-media2.fl.yelpcdn.com/bphoto/YdyltGzActfgbkOAdZngAA/o.jpg,40.741863,-73.994888,10011,4.5,77,1836.177187,1.5,3.628831529,1.984169847,2.806500688,30,72.57663058,39.68339694
2,250 East Houston,https://s3-media3.fl.yelpcdn.com/bphoto/KnN9---d8KN4cP1Iwd8oMg/o.jpg,40.72217,-73.98535,10002,4.5,141,3081.197651,2.43880082,3.856066776,2.882716687,3.369391731,48.7760164,77.12133552,57.65433373
3,Avalon Bowery Place,https://s3-media4.fl.yelpcdn.com/bphoto/3MbTyAaxRXlhWZB0-NuQHg/o.jpg,40.724469,-73.9909079,10003,4,141,1369.755284,2.43880082,3.911251407,2.894819235,3.403035321,48.7760164,78.22502813,57.89638469
4,The Ludlow,https://s3-media2.fl.yelpcdn.com/bphoto/Qt1ggJEyM6HzFjhHoTLBDg/o.jpg,40.722111,-73.987095,10002,4,141,1985.165092,2.43880082,3.880554857,2.799366848,3.339960852,48.7760164,77.61109713,55.98733695
5,The Greystone,https://s3-media2.fl.yelpcdn.com/bphoto/CayRFrxNvOVp2Snum3a6ZQ/o.jpg,40.79109,-73.97347,10024,3.5,6,2212.4965,3.046176949,3.968979365,0,1.984489682,60.92353897,79.37958729,0
6,Loftey,https://s3-media3.fl.yelpcdn.com/bphoto/gibLIotucDfp_K3Mp6kYAA/o.jpg,40.75121,-73.98356,10018,4.5,98,1759.508063,1.858220697,3.949371257,1.490786532,2.720078894,37.16441394,78.98742514,29.81573063
7,Post Luminaria,https://s3-media2.fl.yelpcdn.com/bphoto/Tr4pX356AkHTcyAwrAOzjQ/o.jpg,40.737291,-73.978547,10010,4.5,2,1933.367365,5,4.009050867,2.117827455,3.063439161,100,80.18101733,42.35654909
8,The Lanthian Apartments,https://s3-media2.fl.yelpcdn.com/bphoto/dy69OmuY1DKXW-TYLpjrww/o.jpg,40.7433809,-73.9742625,10016,4.5,2,1560.986332,5,3.914268523,1.809052904,2.861660713,100,78.28537045,36.18105807
9,MiMA,https://s3-media2.fl.yelpcdn.com/bphoto/Ab_mt7V-CUPXDU9-y16Vig/o.jpg,40.75918,-73.99481,10036,4,155,1050,3.296273002,3.824339658,1.180495237,2.502417447,65.92546003,76.48679316,23.60990473
