,name,latitude,longitude,zipcode,rating,cluster,crime_cluster,centroids,res_score,bus_score,sub_score,crime_score,trans_score,rating,url,starting_price,keyword1,keyword2,keyword3
0,Urban Pads,40.6750714,-73.952629,11216,4,145,149,0,29.01750225,73.83848627,100,76.47601016,86.91924314,64.13758518,https://s3-media2.fl.yelpcdn.com/bphoto/Qa3EMzp-Q-RBwDiqmppkwQ/o.jpg,1925,clean,good,corporate
1,21 Chelsea,40.741863,-73.994888,10011,4.5,77,48,0,3.430746081,72.57663058,39.68339694,82.9008314,56.13001376,47.48719708,https://s3-media2.fl.yelpcdn.com/bphoto/YdyltGzActfgbkOAdZngAA/o.jpg,1836,good,brilliant,common
2,250 East Houston,40.72217,-73.98535,10002,4.5,141,121,0,26.62666989,77.12133552,57.65433373,74.25469383,67.38783463,56.08973278,https://s3-media1.fl.yelpcdn.com/bphoto/YVsI7pe1ff4pws-b2RsqTw/o.jpg,3081,interesting,entire,nice
3,Avalon Bowery Place,40.724469,-73.9909079,10003,4,141,149,0,26.62666989,78.22502813,57.89638469,76.47601016,68.06070641,57.05446215,https://s3-media2.fl.yelpcdn.com/bphoto/Qt1ggJEyM6HzFjhHoTLBDg/o.jpg,1370,rental,good,friendly
4,The Ludlow,40.722111,-73.987095,10002,4,141,50,0,26.62666989,77.61109713,55.98733695,80.42603721,66.79921704,57.95064138,https://s3-media4.fl.yelpcdn.com/bphoto/3MbTyAaxRXlhWZB0-NuQHg/o.jpg,1985,fine,astronomical,quality
5,The Greystone,40.79109,-73.97347,10024,3.5,6,140,0,41.63374071,79.37958729,0,61.06820539,39.68979365,47.46391325,https://s3-media2.fl.yelpcdn.com/bphoto/CayRFrxNvOVp2Snum3a6ZQ/o.jpg,2212,super,upper,west
6,Loftey,40.75121,-73.98356,10018,4.5,98,38,1,12.28167571,78.98742514,29.81573063,54.71866157,54.40157789,40.46730506,https://s3-media2.fl.yelpcdn.com/bphoto/Tr4pX356AkHTcyAwrAOzjQ/o.jpg,1760,pet,common,friendly
7,Post Luminaria,40.737291,-73.978547,10010,4.5,2,38,0,89.90886965,80.18101733,42.35654909,54.71866157,61.26878321,68.63210481,https://s3-media3.fl.yelpcdn.com/bphoto/gibLIotucDfp_K3Mp6kYAA/o.jpg,1933,following,good,representative
8,The Lanthian Apartments,40.7433809,-73.9742625,10016,4.5,2,38,0,89.90886965,78.28537045,36.18105807,54.71866157,57.23321426,67.28691516,https://s3-media2.fl.yelpcdn.com/bphoto/dy69OmuY1DKXW-TYLpjrww/o.jpg,1561,top,late,great
9,MiMA,40.75918,-73.99481,10036,4,155,143,0,47.81312282,76.48679316,23.60990473,56.49634485,50.04834895,51.45260554,https://s3-media2.fl.yelpcdn.com/bphoto/Ab_mt7V-CUPXDU9-y16Vig/o.jpg,1050,such,Excellent,public
10,AVA Fort Greene,40.69408,-73.98288,11201,4,40,84,0,3.430746081,78.26848452,34.11617165,69.12209389,56.19232809,42.91505602,https://s3-media1.fl.yelpcdn.com/bphoto/OljWigcOd8hwlpCKNar9HA/o.jpg,2441,wonderful,good,recommend
11,24 Fifth Avenue,40.7331,-73.99596,10011,5,33,140,0,89.90886965,66.17675316,48.14349644,61.06820539,57.1601248,69.37906661,https://s3-media1.fl.yelpcdn.com/bphoto/QBdGVvk1yJn9buI3WhNsww/o.jpg,1671,good,long,recommend
12,The Dylan,40.7467824,-73.9854604,10016,4,98,140,0,12.28167571,70.04185632,85.77643864,61.06820539,77.90914748,50.41967619,https://s3-media1.fl.yelpcdn.com/bphoto/ljqdnsfXU798u9oicsvmuA/o.jpg,1942,last,self-guided,hot
13,The Courtney House,40.7368481,-73.9952869,10011,5,77,50,0,3.430746081,68.76810105,44.48405962,80.42603721,56.62608034,46.82762121,https://s3-media3.fl.yelpcdn.com/bphoto/U5skfzQvmcfJidZYyUqiHg/o.jpg,2087,different,great,married
14,The Dakota,40.77652476,-73.97614214,10023,4,94,149,0,3.430746081,65.79896788,6.316598241,76.47601016,36.05778306,38.65484643,https://s3-media4.fl.yelpcdn.com/bphoto/jj5ciGqjG7mKIAFS281LLg/o.jpg,2388,famous,iconic,lifelong
