,name,latitude,longitude,zipcode,rating,categories,transactions,cluster,centroids
0,Wah Fung No 1,40.71735,-73.99457,10002,4.5,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",['delivery'],86,0
1,Kora,40.75120864,-73.95004515,11101,4.5,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'desserts', 'title': 'Desserts'}]",['delivery'],142,0
2,Birria LES,40.71962885,-73.98711402,10002,4,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'tacos', 'title': 'Tacos'}]",[],141,0
3,Win Son,40.70747,-73.94339,11206,4,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'newamerican', 'title': 'American (New)'}]",['delivery'],193,0
4,Mika,40.705116,-73.931991,11206,4.5,"[{'alias': 'poolhalls', 'title': 'Pool Halls'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",['delivery'],103,0
5,Momofuku Ssam Bar,40.70547602,-74.0016428,10038,4,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'steak', 'title': 'Steakhouses'}]",[],105,0
6,Omusubi Gonbei,40.750701,-73.976961,10017,4.5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'foodstands', 'title': 'Food Stands'}]",['delivery'],88,0
7,Ugly Baby,40.67795,-73.9961,11231,4.5,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bars', 'title': 'Bars'}]",['delivery'],59,0
8,Kjun,40.7296335,-73.9877893,10003,5,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]","['delivery', 'pickup']",109,0
9,SMASHED,40.721819,-73.988605,10002,4,"[{'alias': 'burgers', 'title': 'Burgers'}]","['delivery', 'pickup']",141,0
10,BCD Tofu House,40.747509,-73.986079,10001,4,"[{'alias': 'korean', 'title': 'Korean'}]",[],98,0
11,Birria Landia Williamsburg,40.7139049,-73.95196261,11211,4.5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",[],14,0
12,8282,40.72161,-73.98875,10002,4.5,"[{'alias': 'korean', 'title': 'Korean'}]",[],141,0
13,Boxed To-Go,40.72936,-73.98884,10003,4.5,"[{'alias': 'japanese', 'title': 'Japanese'}]",[],109,0
14,Kimika,40.720572,-73.995206,10012,4,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",['delivery'],86,0
15,Double Chicken Please,40.719584,-73.990486,10002,4.5,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","['delivery', 'pickup']",141,0
16,Sunny and Annie's,40.724653,-73.981702,10003,4.5,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'grocery', 'title': 'Grocery'}]",['delivery'],154,0
17,Casa Birria NYC,40.778824,-73.953986,10028,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",['delivery'],45,0
18,Sushi Lab Rooftop NYC,40.75848903,-73.98320701,10036,4,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'bars', 'title': 'Bars'}]",[],184,0
19,Fresh Salt,40.70707,-74.00244,10038,4,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",['delivery'],105,0
20,Williamsburg Smorgasburg - Saturday,40.721021,-73.962177,11211,4.5,"[{'alias': 'foodstands', 'title': 'Food Stands'}]",[],140,0
21,shabushabu Mayumon,40.71434,-73.99205,10002,5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'hotpot', 'title': 'Hot Pot'}]",['restaurant_reservation'],62,0
22,Fong On,40.71417,-73.9937,10002,4.5,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'desserts', 'title': 'Desserts'}]",['delivery'],62,1
23,The Food Sermon Kitchen,40.6985551,-73.9712029,11205,4.5,"[{'alias': 'caribbean', 'title': 'Caribbean'}]","['delivery', 'pickup']",188,0
24,Xi'an Famous Foods,40.715082,-73.997342,10013,4,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'noodles', 'title': 'Noodles'}]",['delivery'],86,0
25,Canal Street Market,40.71897,-74.00102,10013,4,"[{'alias': 'food_court', 'title': 'Food Court'}]",[],194,0
26,B&B Restaurant Corporation,40.7459112,-73.9936086,10001,4.5,"[{'alias': 'african', 'title': 'African'}, {'alias': 'caribbean', 'title': 'Caribbean'}]","['delivery', 'pickup']",146,0
27,Otis,40.706011,-73.932598,11206,5,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","['delivery', 'pickup']",103,0
28,Fishmarket Restaurant,40.70717,-74.00192,10038,4.5,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'malaysian', 'title': 'Malaysian'}]",['delivery'],105,0
29,Taqueria Ramirez,40.72787614,-73.95699203,11222,5,"[{'alias': 'mexican', 'title': 'Mexican'}]",[],124,0
30,BOHO's Kitchen,40.72072,-73.98864,10002,4.5,"[{'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",[],141,0
31,Lillo Cucina Italiana,40.69023,-73.99634,11201,5,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'italian', 'title': 'Italian'}]",['delivery'],19,0
32,Tadaima,40.656024,-74.006553,11232,5,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cakeshop', 'title': 'Patisserie/Cake Shop'}]",[],8,0
33,For All Things Good,40.68763001,-73.95682007,11238,4.5,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'mexican', 'title': 'Mexican'}]",['delivery'],11,0
34,Banh,40.80085,-73.96562,10025,4.5,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",['delivery'],6,0
